***************** Episode: 00 | Action: [0.85322684 0.08043711 0.05577299], Reward: 6.0538461538461545
***************** Episode: 60 | Action: [0.6367266  0.211546   0.06167661], Reward: 7.042857142857144
99 | Action: [0.3477462  0.10698558 0.00876998], Reward: 43.571428571428505
198 | Action: [-0.03087067  0.16657594  0.00490401], Reward: 119.38571428571453
297 | Action: [-8.2235616e-01  1.6038863e-01  6.4569013e-04], Reward: 113.05714285714366
396 | Action: [-0.11564875  0.21806768  0.00363368], Reward: 110.30000000000136
495 | Action: [-0.8462412   0.06483015  0.00450697], Reward: 111.11428571428763
594 | Action: [-0.77676916  0.10449637  0.00209366], Reward: 101.2142857142882
693 | Action: [-0.33198097  0.16012943  0.00357599], Reward: 91.31428571428876
792 | Action: [-0.66515374  0.14565435  0.00110906], Reward: 88.55714285714646
891 | Action: [0.16576482 0.45188648 0.01548108], Reward: 150.0857142857185
990 | Action: [-0.34050915  0.16273674  0.0035707 ], Reward: 236.61428571429082
1089 | Action: [-0.35462314  0.14255413  0.00285093], Reward: 226.71428571429138
1188 | Action: [-0.3129489   0.17184648  0.00367239], Reward: 216.81428571429194
Episode took: 39.13323211669922 seconds
***************** Episode: 70 | Action: [0.45760888 0.28487974 0.06668944], Reward: 6.5889632107023415
99 | Action: [-0.20515808  0.21334492  0.00936771], Reward: 40.1672240802675
198 | Action: [-0.24412617  0.13541093  0.0033836 ], Reward: 103.84581939799362
297 | Action: [-0.14304759  0.13758814  0.00437076], Reward: 103.97926421404772
396 | Action: [-0.30914807  0.17303963  0.00367164], Reward: 100.76822742475063
495 | Action: [0.34289366 0.13613534 0.00299324], Reward: 90.8682274247512
594 | Action: [-0.3840728   0.15311816  0.0030303 ], Reward: 94.34615384615647
693 | Action: [-0.30914807  0.17303963  0.00367164], Reward: 84.44615384615703
792 | Action: [-0.66600335  0.07694656  0.00159203], Reward: 74.5461538461576
891 | Action: [-0.06117999  0.19085303  0.00452763], Reward: 64.64615384615816
990 | Action: [-0.78080004  0.12527622  0.00455666], Reward: 61.4351170568604
1089 | Action: [-0.1186635   0.18686981  0.00433123], Reward: 54.87959866221145
1188 | Action: [-0.7645309   0.11742726  0.00704983], Reward: 55.01304347826482
Episode took: 40.0978000164032 seconds
***************** Episode: 80 | Action: [0.96623075 0.12718798 0.11463769], Reward: 6.749315068493151
99 | Action: [-0.14130111  0.21233451  0.00162825], Reward: 37.94520547945201
198 | Action: [-0.2843005   0.2230963   0.00818286], Reward: 117.08630136986338
297 | Action: [-0.9236991   0.10236472  0.00208408], Reward: 199.6520547945212
396 | Action: [-0.9011112   0.0415172   0.00119305], Reward: 210.30000000000115
495 | Action: [-0.1292322   0.21234287  0.0037512 ], Reward: 200.4000000000017
594 | Action: [-0.96379304  0.13345774  0.00192141], Reward: 190.50000000000227
693 | Action: [-0.8066518   0.07773102  0.00365375], Reward: 235.39452054794785
792 | Action: [-0.5054059   0.09087493  0.00324799], Reward: 331.65890410959054
891 | Action: [-0.09556747  0.16717729  0.003466  ], Reward: 438.1972602739724
990 | Action: [-0.33360216  0.16206227  0.00360576], Reward: 428.29726027397015
1089 | Action: [-0.30914807  0.17303963  0.00367164], Reward: 418.3972602739679
1188 | Action: [-0.35805136  0.14150861  0.00288394], Reward: 408.49726027396565
Episode took: 36.59136724472046 seconds
***************** Episode: 90 | Action: [0.8472904  0.09155972 0.05830918], Reward: 6.522516556291391
